City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
653,Port Arthur,CN,66.42,clear sky,38.8,121.2667,Friendship Hotel
655,Santa Cruz Do Capibaribe,BR,68.02,clear sky,-7.9575,-36.2047,Etiqueta Hotel
656,Mahanoro,MG,64.74,broken clouds,-19.9,48.8,BUNGALOW MAHAMANINA
657,Tucuman,AR,60.8,clear sky,-26.8241,-65.2226,Dallas Hotel Tucuman
658,Kangaba,ML,71.67,broken clouds,11.9333,-8.4167,CAF (case de l´amitié et de la fraternité)
659,Huambo,AO,60.84,broken clouds,-12.7761,15.7392,Residencial Mãesidencial Mãe Lina
661,Mahon,ES,68.56,scattered clouds,39.8885,4.2658,ARTIEM Capri
667,Kemise,ET,65.86,overcast clouds,10.7167,39.8667,Hussen Endris
683,Lichtenburg,ZA,64.71,clear sky,-26.152,26.1597,Kennzy Guest House
684,Mandal,IN,72.09,overcast clouds,25.45,74.5667,Surpanch saab ki vatika
687,Barcelos,PT,64.92,scattered clouds,41.5388,-8.6151,Hotel Do Terço
690,Camabatela,AO,63.1,light rain,-8.1881,15.375,Comércio e Prestação de Serviços
691,Matay,EG,66.88,clear sky,28.419,30.7792,Nag Aespen
