City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
114,Hammerfest,NO,2022-10-05 22:06:15,70.6634,23.6821,43.25,75,75,13.8
115,Tuktoyaktuk,CA,2022-10-05 22:06:16,69.4541,-133.0374,34.81,89,100,9.91
116,Tuatapere,NZ,2022-10-05 22:06:16,-46.1333,167.6833,40.82,82,100,15.48
117,Stornoway,GB,2022-10-05 22:06:17,58.2093,-6.3865,49.96,89,75,24.16
118,Upernavik,GL,2022-10-05 22:06:07,72.7868,-56.1549,18.5,81,57,4.05
119,Rovaniemi,FI,2022-10-05 22:06:18,66.5,25.7167,44.01,100,100,10.36
120,Marystown,CA,2022-10-05 22:06:18,47.1666,-55.1483,50.77,79,30,6.58
121,Cabedelo,BR,2022-10-05 22:06:18,-6.9811,-34.8339,77.67,86,1,9.93
122,Nichinan,JP,2022-10-05 22:06:19,31.6,131.3667,73.08,82,87,8.16
123,Chabahar,IR,2022-10-05 22:06:19,25.2919,60.643,80.31,76,0,3.65
124,Lebu,CL,2022-10-05 22:06:20,-37.6167,-73.65,53.51,76,100,9.98
125,Bubaque,GW,2022-10-05 22:06:20,11.2833,-15.8333,82.18,79,21,10.76
126,Dom Pedro,BR,2022-10-05 22:01:50,-4.4833,-44.45,90.39,30,53,3.44
127,Mangan,IN,2022-10-05 22:06:21,27.5167,88.5333,72.18,84,100,1.97
128,Awjilah,LY,2022-10-05 22:06:21,29.1081,21.2869,77.14,40,2,7.09
129,La Ronge,CA,2022-10-05 22:03:00,55.1001,-105.2842,42.94,35,0,7.54
130,Yichang,CN,2022-10-05 22:06:22,30.7144,111.2847,51.12,81,100,0.87
131,Las Vegas,US,2022-10-05 22:02:17,36.175,-115.1372,92.26,16,0,4.61
132,Korla,CN,2022-10-05 22:06:23,41.7597,86.1469,53.69,35,0,4.56
133,Mumbwa,ZM,2022-10-05 22:06:23,-14.9783,27.0619,73.89,22,3,9.42
134,Ambilobe,MG,2022-10-05 22:06:23,-13.2,49.05,67.05,79,1,3.2
135,Faanui,PF,2022-10-05 22:06:24,-16.4833,-151.75,78.1,73,38,25.55
136,Darapidap,PH,2022-10-05 22:06:24,17.2131,120.4114,77.31,83,86,4.09
137,Calabozo,VE,2022-10-05 22:06:25,8.9242,-67.4293,84.49,66,62,3.87
138,Shatoy,RU,2022-10-05 22:06:25,42.8714,45.6886,59.5,88,85,2.48
139,Coquimbo,CL,2022-10-05 22:07:26,-29.9533,-71.3436,58.73,77,20,10.36
140,Ribeira Grande,PT,2022-10-05 22:07:26,38.5167,-28.7,70.97,79,98,6.11
141,Aklavik,CA,2022-10-05 22:07:26,68.2191,-135.0107,34.16,94,100,6.51
142,Kargasok,RU,2022-10-05 22:07:27,59.0556,80.8572,38.07,77,100,6.85
143,Lorengau,PG,2022-10-05 22:07:27,-2.0226,147.2712,84.22,70,65,12.28
144,Mehamn,NO,2022-10-05 22:07:28,71.0357,27.8492,42.71,81,40,17.27
145,Tabuk,PH,2022-10-05 22:07:28,17.4189,121.4443,72.99,94,99,2.08
146,Pedernales,DO,2022-10-05 22:07:29,18.0384,-71.744,82.63,76,66,2.46
147,Saskylakh,RU,2022-10-05 22:07:29,71.9167,114.0833,4.98,99,85,4.9
148,Yumen,CN,2022-10-05 22:07:30,40.2833,97.2,40.41,58,5,4.25
149,Amboise,FR,2022-10-05 22:07:16,47.4125,0.9827,57.74,89,100,8.05
150,Shellbrook,CA,2022-10-05 22:07:30,53.2168,-106.4011,50.76,30,73,9.95
151,Roblin,CA,2022-10-05 22:07:31,51.23,-101.3565,45.0,49,99,16.75
152,Vila Velha,BR,2022-10-05 22:07:31,-20.3297,-40.2925,75.15,88,40,4.61
153,San Patricio,US,2022-10-05 22:07:32,28.017,-97.5169,89.19,35,63,12.86
154,Nouakchott,MR,2022-10-05 22:07:32,18.0858,-15.9785,94.93,67,72,9.24
155,Paamiut,GL,2022-10-05 22:04:32,61.994,-49.6678,37.26,86,83,9.26
156,Georgetown,MY,2022-10-05 22:06:24,5.4112,100.3354,77.9,94,20,0.0
157,Stykkisholmur,IS,2022-10-05 22:07:33,65.0757,-22.7297,41.99,78,100,6.96
158,Corbi,RO,2022-10-05 22:07:34,45.2833,24.8,46.36,49,70,5.21
159,Podosinovets,RU,2022-10-05 22:07:34,60.2776,47.0659,45.23,95,97,6.93
160,Russell,US,2022-10-05 22:07:35,32.3502,-85.1999,81.68,24,0,5.75
161,Husavik,IS,2022-10-05 22:05:43,66.0449,-17.3389,37.44,98,100,30.15
162,Mazyr,BY,2022-10-05 22:07:35,52.0495,29.2456,49.01,88,100,8.37
163,Shingu,JP,2022-10-05 22:04:31,33.7333,135.9833,65.26,73,98,5.12
164,Pierre,US,2022-10-05 22:07:36,44.3683,-100.351,76.12,47,0,10.36
165,Vallenar,CL,2022-10-05 22:02:37,-28.5708,-70.7581,63.32,46,2,6.73
166,Ormara,PK,2022-10-05 22:07:36,25.2088,64.6357,78.26,85,1,6.69
167,Qaanaaq,GL,2022-10-05 22:07:37,77.484,-69.3632,6.28,71,38,7.74
168,Waipawa,NZ,2022-10-05 22:07:37,-41.4122,175.5153,37.89,85,94,19.64
169,Nyimba,ZM,2022-10-05 22:07:38,-14.5566,30.8149,76.44,23,1,7.27
170,Smithers,CA,2022-10-05 22:07:38,54.7804,-127.1743,65.23,68,62,2.28
171,Quatre Cocos,MU,2022-10-05 22:07:39,-20.2078,57.7625,69.1,69,79,13.33
172,Bengkulu,ID,2022-10-05 22:07:39,-3.8004,102.2655,75.9,85,100,4.36
173,Bonavista,CA,2022-10-05 22:07:39,48.6499,-53.1147,56.35,73,6,11.61
174,Paracuru,BR,2022-10-05 22:07:40,-3.41,-39.0306,80.11,84,8,15.01
175,Ponta Do Sol,PT,2022-10-05 22:07:40,32.6667,-17.1,70.43,75,98,5.88
176,Norman Wells,CA,2022-10-05 22:07:41,65.282,-126.8329,45.39,68,87,10.8
177,Gushikawa,JP,2022-10-05 22:07:41,26.3544,127.8686,78.03,83,52,11.14
178,Urucara,BR,2022-10-05 22:07:41,-2.5364,-57.76,83.41,59,88,2.26
179,Road Town,VG,2022-10-05 22:07:42,18.4167,-64.6167,84.29,79,40,8.05
180,Xiongzhou,CN,2022-10-05 22:07:42,25.1167,114.3,69.4,84,51,4.03
181,Baculin,PH,2022-10-05 22:08:43,7.4525,126.5842,77.97,86,96,4.05
182,Makat,KZ,2022-10-05 22:08:43,47.6469,53.3463,59.11,24,60,18.34
183,Longyearbyen,SJ,2022-10-05 22:08:44,78.2186,15.6401,40.84,70,40,18.41
184,Tasiilaq,GL,2022-10-05 22:08:44,65.6145,-37.6368,32.16,55,69,5.66
185,Vieste,IT,2022-10-05 22:08:45,41.8825,16.175,65.05,61,100,5.37
186,Port Hedland,AU,2022-10-05 22:08:45,-20.3167,118.5667,62.65,94,1,3.44
187,Bonnyville,CA,2022-10-05 22:08:45,54.2668,-110.735,51.1,38,100,7.92
188,Camana,PE,2022-10-05 22:08:46,-16.6228,-72.7111,62.04,75,62,9.95
189,Kavaratti,IN,2022-10-05 22:04:25,10.5669,72.642,80.8,79,75,15.93
190,Palmer,US,2022-10-05 22:04:22,42.1584,-72.3287,60.17,86,100,3.44
191,Saint-Philippe,RE,2022-10-05 22:06:53,-21.3585,55.7679,69.39,79,44,9.73
192,Adre,TD,2022-10-05 22:08:47,13.4667,22.2,78.75,45,48,5.57
193,Leningradskiy,RU,2022-10-05 22:08:47,69.3833,178.4167,27.95,91,100,8.68
194,Cayenne,GF,2022-10-05 22:08:48,4.9333,-52.3333,82.44,78,0,5.75
195,Mount Gambier,AU,2022-10-05 22:08:48,-37.8333,140.7667,57.11,100,100,13.8
196,Poum,NC,2022-10-05 22:08:48,-20.2333,164.0167,73.67,62,71,8.95
197,Orebro,SE,2022-10-05 22:08:49,59.2741,15.2066,60.98,82,75,19.57
198,Zheleznogorsk-Ilimskiy,RU,2022-10-05 22:08:49,56.5768,104.1217,27.59,95,97,3.4
199,Port Augusta,AU,2022-10-05 22:08:50,-32.5,137.7667,65.97,58,0,4.38
200,Loei,TH,2022-10-05 22:08:50,17.4167,101.5,63.84,96,92,1.25
201,Buala,SB,2022-10-05 22:08:50,-8.145,159.5921,83.62,60,94,9.42
202,Newport,GB,2022-10-05 22:05:16,51.5877,-2.9984,56.44,76,0,16.93
203,Ostrovnoy,RU,2022-10-05 22:08:51,68.0531,39.5131,47.23,90,99,10.76
204,Kota,IN,2022-10-05 22:08:51,25.1833,75.8333,78.01,84,99,3.36
205,Port Lincoln,AU,2022-10-05 22:08:52,-34.7333,135.8667,56.8,83,1,8.01
206,Darnah,LY,2022-10-05 22:08:52,32.767,22.6367,71.98,68,5,6.22
207,Esperance,AU,2022-10-05 22:08:52,-33.8667,121.9,52.0,67,79,17.96
208,Terrace,CA,2022-10-05 22:07:23,54.5163,-128.6035,58.91,94,75,2.3
209,Egvekinot,RU,2022-10-05 22:08:53,66.3167,-179.1667,34.79,99,100,17.31
210,Juneau,US,2022-10-05 22:05:56,58.3019,-134.4197,60.8,86,100,11.5
211,Amuntai,ID,2022-10-05 22:08:54,-2.4177,115.2494,72.93,98,96,1.86
212,Mujiayingzi,CN,2022-10-05 22:08:54,42.1167,118.7833,34.75,31,100,1.86
213,Henderson,US,2022-10-05 22:04:00,36.0397,-114.9819,92.82,17,0,10.36
214,Pangnirtung,CA,2022-10-05 22:08:55,66.1451,-65.7125,31.19,95,100,3.38
215,Marakkanam,IN,2022-10-05 22:08:55,12.2,79.95,78.96,82,97,9.19
216,San Quintin,MX,2022-10-05 22:08:56,30.4833,-115.95,72.27,73,19,10.25
217,Port-Gentil,GA,2022-10-05 22:08:56,-0.7193,8.7815,78.76,83,40,11.5
218,Lavrentiya,RU,2022-10-05 22:08:56,65.5833,-171.0,38.66,89,100,27.36
219,Fukue,JP,2022-10-05 22:08:57,32.6881,128.8419,69.3,73,99,16.55
220,Necochea,AR,2022-10-05 22:08:57,-38.5473,-58.7368,54.37,88,100,12.21
221,Araouane,ML,2022-10-05 22:08:58,18.9048,-3.5265,96.75,18,46,4.32
222,Victoria,HK,2022-10-05 22:04:52,22.2855,114.1577,82.45,80,62,8.99
223,Beira,MZ,2022-10-05 22:08:58,-19.8436,34.8389,74.07,90,0,7.43
224,Contamana,PE,2022-10-05 22:08:59,-7.3333,-75.0167,96.33,33,100,4.63
225,Kaitangata,NZ,2022-10-05 22:08:59,-46.2817,169.8464,37.78,94,100,13.35
226,Gladstone,AU,2022-10-05 22:08:59,-23.85,151.25,70.79,64,100,9.22
227,Bathsheba,BB,2022-10-05 22:09:00,13.2167,-59.5167,79.41,89,75,16.11
228,East London,ZA,2022-10-05 22:10:00,-33.0153,27.9116,65.23,84,100,7.31
229,Ashcroft,CA,2022-10-05 22:10:01,50.7165,-121.2859,82.47,29,16,2.1
230,Lazaro Cardenas,MX,2022-10-05 22:10:02,17.9583,-102.2,83.5,75,9,6.89
231,Karratha,AU,2022-10-05 22:10:03,-20.7377,116.8463,70.88,46,10,13.22
